Learning Rate	Train Loss1	Train Loss2	
0.100000	0.784047	0.736840	
0.100000	1.124212	1.064303	
0.100000	1.026910	0.842768	
0.100000	1.167768	0.994697	
0.100000	1.024798	1.021488	
0.100000	0.988202	0.947122	
0.100000	1.022483	0.896173	
0.100000	1.233167	1.071536	
0.100000	0.906199	0.851975	
0.100000	1.089858	1.020365	
0.100000	0.871555	0.809625	
0.100000	1.074688	1.070923	
0.100000	0.947727	0.785782	
0.100000	0.924014	0.748321	
0.100000	0.993618	1.047780	
0.100000	1.142510	1.011785	
0.100000	0.989425	0.872294	
0.100000	0.868098	0.763061	
0.100000	1.189615	0.961365	
0.100000	0.821305	0.952879	
0.100000	1.169618	1.084852	
0.100000	0.997915	0.958454	
0.100000	1.046899	0.870305	
0.100000	1.244547	1.047398	
0.100000	1.046937	0.991416	
0.100000	1.096057	0.949237	
0.100000	0.933081	0.980203	
0.100000	1.185907	0.987048	
0.100000	1.384105	1.133540	
0.100000	0.832163	0.804479	
0.100000	1.028721	0.899718	
0.100000	0.772956	0.740926	
0.100000	0.952009	0.733912	
0.100000	0.791974	0.739644	
0.100000	0.666690	0.611701	
0.100000	0.798555	0.802178	
0.100000	1.676396	1.699227	
0.100000	1.035476	1.075588	
0.100000	1.024240	1.026539	
0.100000	1.019949	0.970444	
0.100000	1.040510	0.970473	
0.100000	1.253078	1.097608	
0.100000	0.917555	0.947851	
0.100000	1.009112	1.003345	
0.100000	1.342925	1.043561	
0.100000	1.097702	0.909505	
0.100000	0.827087	0.832605	
0.100000	1.144923	1.016642	
0.100000	0.870670	0.736420	
0.100000	1.016503	0.919987	
0.100000	1.034265	0.888508	
0.100000	1.080330	0.927606	
0.100000	1.047066	1.016958	
0.100000	0.852900	0.830193	
0.100000	0.954291	0.970862	
0.100000	1.062591	0.930883	
0.100000	1.148148	1.123623	
0.100000	0.962724	0.845755	
0.100000	1.074587	1.022653	
0.100000	1.093182	0.964646	
0.100000	1.008457	0.854392	
0.100000	1.065738	1.010032	
0.100000	0.961910	0.966341	
0.100000	0.930355	0.839514	
0.100000	0.935227	0.788653	
0.100000	1.079419	1.057363	
0.100000	0.864200	0.783143	
0.100000	0.922466	0.927415	
0.100000	1.105674	0.981524	
0.100000	0.912455	0.887030	
0.100000	0.921761	0.862383	
0.100000	1.022316	1.024456	
0.100000	1.144090	1.040014	
0.100000	1.018720	0.797874	
0.100000	0.894219	0.838516	
0.100000	0.926665	0.957630	
0.100000	0.726817	0.856365	
0.100000	1.050582	0.985057	
0.100000	0.888114	0.814051	
0.100000	0.809423	0.749255	
0.100000	0.787902	0.747738	
0.100000	0.902299	0.776656	
0.100000	1.132369	0.993352	
0.100000	1.139461	0.914448	
0.100000	1.008208	0.873722	
0.100000	0.817558	0.926072	
0.100000	1.327422	1.152323	
0.100000	0.979917	0.862347	
0.100000	0.785370	0.644167	
0.100000	1.224608	0.970760	
0.100000	1.091252	0.787702	
0.100000	0.905218	0.870275	
0.100000	0.944032	0.876503	
0.100000	1.991205	1.942593	
