Learning Rate	Train Loss1	Train Loss2	
0.100000	0.927338	0.754398	
0.100000	1.180872	0.968811	
0.100000	1.081568	0.872961	
0.100000	0.834137	0.722219	
0.100000	0.805625	0.904006	
0.100000	1.071514	0.949063	
0.100000	1.282511	1.220058	
0.100000	0.984081	0.791565	
0.100000	1.118618	0.977999	
0.100000	1.037301	0.935088	
0.100000	1.213213	1.261892	
0.100000	0.801816	0.682721	
0.100000	1.301972	1.204591	
0.100000	0.981848	0.938804	
0.100000	0.929902	0.943057	
0.100000	0.833363	0.816003	
0.100000	1.067003	0.935257	
0.100000	1.031805	0.809412	
0.100000	0.915602	0.789755	
0.100000	1.000833	0.906105	
0.100000	1.064911	0.979481	
0.100000	1.067037	1.028744	
0.100000	0.997455	1.008962	
0.100000	0.908422	0.803274	
0.100000	0.918230	0.858526	
0.100000	1.145617	1.122403	
0.100000	1.169045	1.001662	
0.100000	0.989365	0.948730	
0.100000	0.928355	0.726842	
0.100000	0.843153	0.767499	
0.100000	0.976244	0.794318	
0.100000	0.984918	0.994706	
0.100000	1.089781	1.021077	
0.100000	1.036630	1.029201	
0.100000	0.823598	0.712834	
0.100000	0.769822	0.750663	
0.100000	1.005988	0.919866	
0.100000	0.970737	1.043319	
0.100000	1.011828	0.944259	
0.100000	1.039066	0.868473	
0.100000	0.910277	0.834005	
0.100000	1.427218	1.148269	
0.100000	1.288761	1.168787	
0.100000	1.158308	1.216541	
0.100000	0.874835	0.829474	
0.100000	1.314448	1.176223	
0.100000	1.045376	1.048431	
0.100000	1.171158	1.189590	
0.100000	0.971558	0.881345	
0.100000	0.878798	0.869337	
0.100000	1.384645	1.274430	
0.100000	1.064252	1.107893	
0.100000	0.996520	0.840736	
0.100000	0.959814	0.834719	
0.100000	1.344553	1.276543	
0.100000	0.913755	0.988063	
0.100000	1.216253	1.122693	
0.100000	0.915213	1.012445	
0.100000	1.295389	1.218270	
0.100000	1.071324	1.018092	
0.100000	0.841519	0.845913	
0.100000	1.003558	0.918212	
0.100000	0.895266	0.744930	
0.100000	0.854027	0.707387	
0.100000	1.146603	0.973532	
0.100000	0.802763	0.784413	
0.100000	1.016651	0.795000	
0.100000	0.981993	1.003162	
0.100000	1.212606	1.076031	
0.100000	0.941971	0.844265	
0.100000	1.247491	1.093323	
0.100000	1.304583	1.192695	
0.100000	1.005422	0.946462	
0.100000	1.013620	0.910778	
0.100000	1.284815	1.179118	
0.100000	0.924411	0.792001	
0.100000	0.855775	0.916102	
0.100000	0.883487	0.817679	
0.100000	1.410033	1.352781	
0.100000	0.951831	0.883517	
0.100000	1.213204	1.002602	
0.100000	1.084932	1.036548	
0.100000	1.054272	0.880200	
0.100000	1.084693	0.856706	
0.100000	0.912784	0.950777	
0.100000	0.979097	0.838436	
0.100000	1.135306	0.863107	
0.100000	0.674317	0.663079	
0.100000	0.956129	0.936622	
0.100000	1.186966	1.099447	
0.100000	0.977065	0.847970	
0.100000	1.109581	1.069810	
0.100000	1.001024	0.943853	
0.100000	1.216156	0.983751	
0.100000	0.933607	0.915594	
0.100000	1.256264	1.176536	
0.100000	0.987468	0.842069	
0.100000	0.842468	0.862989	
0.100000	1.032630	1.068970	
0.100000	0.839004	0.888674	
0.100000	1.054076	0.903141	
0.100000	0.942851	0.861114	
0.100000	0.920136	0.674390	
0.100000	1.058110	0.952565	
0.100000	1.159184	1.104860	
0.100000	0.841968	0.769289	
0.100000	1.224596	1.137229	
0.100000	0.923600	1.046491	
0.100000	0.960242	0.913708	
0.100000	0.993819	0.763613	
0.100000	0.963189	0.927184	
0.100000	0.940995	0.934056	
0.100000	0.886948	0.741994	
0.100000	1.448281	1.368796	
0.100000	1.242545	1.222452	
0.100000	1.122831	0.970332	
0.100000	0.914722	0.773895	
0.100000	1.579816	1.512133	
0.100000	1.061905	1.059093	
0.100000	1.067805	0.963390	
0.100000	1.819177	1.817400	
0.100000	0.898853	0.931558	
0.100000	0.848283	0.782526	
0.100000	1.112226	1.144807	
0.100000	0.839544	0.782284	
0.100000	0.997387	0.954008	
0.100000	0.816900	0.875924	
0.100000	1.227813	1.087902	
0.100000	1.020883	0.935727	
0.100000	1.078368	1.109585	
0.100000	0.915922	0.873856	
0.100000	0.943500	0.869035	
0.100000	1.051477	1.023976	
0.100000	0.905694	0.825932	
0.100000	0.943436	0.969492	
0.100000	1.104527	1.125737	
0.100000	1.211182	0.996391	
0.100000	0.881233	0.886725	
0.100000	0.851468	0.697417	
0.100000	1.048490	1.088942	
0.100000	0.983279	0.820539	
0.100000	1.239971	1.119544	
0.100000	0.921741	0.775195	
0.100000	1.019926	1.014671	
0.100000	1.063697	1.042358	
0.100000	0.926324	0.944971	
0.100000	1.111986	1.040771	
0.100000	1.258896	1.425787	
0.100000	0.975108	0.901274	
0.100000	0.915697	0.882544	
0.100000	1.187746	1.169356	
0.100000	0.911001	0.968077	
0.100000	0.861329	0.793691	
0.100000	1.385376	1.238509	
0.100000	0.867398	0.881975	
0.100000	1.038249	1.127555	
0.100000	0.950101	0.830910	
0.100000	1.032959	1.087760	
0.100000	0.830142	0.875822	
0.100000	0.959390	0.907672	
0.100000	0.987846	0.885107	
0.100000	1.246791	1.253519	
0.100000	0.965527	0.930561	
0.100000	0.751236	0.722532	
0.100000	0.960743	0.774070	
0.100000	0.951447	0.944200	
0.100000	0.927115	0.843915	
0.100000	1.191542	1.011025	
0.100000	0.931223	0.805409	
0.100000	1.101618	1.017577	
0.100000	1.069700	0.927948	
0.100000	1.014290	0.900896	
0.100000	0.913923	0.821400	
0.100000	0.849863	0.856782	
0.100000	0.969974	0.807339	
0.100000	1.052304	0.926144	
0.100000	1.149992	1.014669	
0.100000	1.066062	0.962304	
0.100000	1.097474	1.084014	
0.100000	0.849296	0.745041	
0.100000	0.843858	0.822650	
0.100000	1.019002	0.887900	
0.100000	0.849896	0.729215	
0.100000	1.010605	0.918770	
0.100000	0.977391	1.006977	
0.100000	0.992874	0.917574	
0.100000	0.704326	0.612761	
0.100000	1.023774	0.916337	
0.100000	0.900016	0.743211	
0.100000	1.160795	1.143978	
0.100000	0.852526	0.867878	
0.100000	1.143209	1.224305	
0.100000	0.746973	0.743754	
0.100000	0.978312	1.004027	
0.100000	0.896903	0.856450	
0.100000	0.912840	1.028293	
0.100000	1.890734	1.826072	
0.100000	1.025453	0.975581	
0.100000	0.979511	1.032143	
0.100000	1.326373	1.198749	
0.100000	1.012323	0.891486	
0.100000	1.081763	0.996836	
0.100000	0.782433	0.865530	
0.100000	1.075836	0.783073	
0.100000	0.760125	0.896109	
0.100000	1.272508	1.190078	
0.100000	1.156845	0.992499	
0.100000	0.973818	0.789676	
0.100000	1.183435	0.970608	
0.100000	0.822276	0.744998	
0.100000	1.076036	0.965510	
0.100000	0.850641	0.776690	
0.100000	1.042878	0.868795	
0.100000	0.909911	0.724213	
0.100000	0.902243	0.927684	
0.100000	0.934961	0.890758	
0.100000	0.993661	1.016714	
0.100000	1.026292	0.945362	
0.100000	0.824432	0.802051	
0.100000	0.882638	0.929193	
0.100000	0.984808	0.963937	
0.100000	1.032895	0.943915	
0.100000	1.107767	1.059779	
0.100000	1.104624	0.932299	
0.100000	1.136649	1.051030	
0.100000	0.871248	0.923507	
0.100000	1.100842	1.083370	
0.100000	0.756178	0.820266	
0.100000	0.830938	0.741486	
0.100000	0.907413	0.836997	
0.100000	1.128283	0.979231	
0.100000	0.944837	0.908157	
0.100000	0.993879	0.911027	
0.100000	1.106944	0.972170	
0.100000	0.778799	0.730588	
